как,ADV
видите,VERB
все,DET
арго,NOUN
и,CCONJ
то,PRON
которое,PRON
было,AUX
в,ADP
ходу,NOUN
четыреста,NUM
лет,NOUN
тому,PRON
назад,ADV
и,CCONJ
современное,ADJ
насквозь,ADV
проникнуты,VERB
тем,DET
символическим,ADJ
духом,NOUN
который,PRON
придает,VERB
словам,NOUN
то,SCONJ
вид,NOUN
угрозы,NOUN
то,SCONJ
вид,NOUN
страдания,NOUN
и,CCONJ
печали,NOUN
в,ADP
нем,PRON
так,ADV
и,PART
чувствуется,VERB
дикая,ADJ
печаль,NOUN
тех,DET
жалких,ADJ
бродяг,NOUN
двора,PROPN
чудес,NOUN
прежних,ADJ
времен,NOUN
которые,PRON
играли,VERB
в,ADP
карты,NOUN
особого,ADJ
образца,NOUN
некоторые,DET
из,ADP
таких,DET
карт,NOUN
дошли,VERB
до,ADP
нас,PRON
например,ADV
трефовая,ADJ
восьмерка,NOUN
изображалась,VERB
на,ADP
них,PRON
в,ADP
виде,NOUN
большого,ADJ
дерева,NOUN
с,ADP
огромными,ADJ
трилистниками,NOUN
символ,NOUN
леса,NOUN
под,ADP
этим,DET
деревом,NOUN
виден,ADJ
костер,NOUN
на,ADP
котором,PRON
три,NUM
зайца,NOUN
поджаривают,ADJ
насаженного,NOUN
на,ADP
вертел,NOUN
охотника,NOUN
а,CCONJ
на,ADP
другом,ADJ
костре,NOUN
стоит,VERB
дымящийся,ADJ
котелок,NOUN
из,ADP
которого,PRON
выглядывает,VERB
голова,NOUN
собаки,NOUN
что,PRON
может,VERB
быть,VERB
зловещее,NOUN
этих,DET
карточных,ADJ
изображений,NOUN
с,ADP
кострами,NOUN
для,ADP
поджаривания,ADJ
контрабандистов,NOUN
и,CCONJ
кипящими,ADJ
котлами,NOUN
для,ADP
фальшивомонетчиков,NOUN
различные,ADJ
формы,NOUN
в,ADP
которые,PRON
облекалась,VERB
мысль,NOUN
в,ADP
царстве,NOUN
арго,NOUN
сама,ADJ
песня,NOUN
сама,ADJ
насмешка,NOUN
даже,PART
сама,ADJ
угроза,NOUN
все,PRON
носит,VERB
на,ADP
себе,PRON
характер,NOUN
бессилия,NOUN
и,CCONJ
подавленности,NOUN
все,DET
песни,NOUN
арго,NOUN
напевы,NOUN
которых,PRON
сохранились,VERB
до,ADP
нашего,DET
времени,NOUN
были,AUX
печальны,ADJ
до,ADP
слез,NOUN
обездоленный,PROPN
всегда,ADV
рисуется,VERB
в,ADP
этих,DET
песнях,NOUN
зайцем,NOUN
который,PRON
прячется,VERB
мышью,NOUN
убегающей,VERB
со,ADP
всех,DET
ног,NOUN
птицей,NOUN
спасающейся,VERB
от,ADP
ловцов,NOUN
он,PRON
едва,PART
осмеливается,VERB
требовать,VERB
довольствуясь,VERB
одними,DET
вздохами,NOUN
до,ADP
нас,PRON
дошло,VERB
одно,NUM
из,ADP
таких,DET
философских,ADJ
стенаний,NOUN
я,PRON
мерекаю,VERB
мерекаю,NOUN
и,CCONJ
в,ADP
толк,NOUN
не,PART
возьму,VERB
как,SCONJ
это,PRON
боженька,VERB
всем,DET
людям,NOUN
папаша,NOUN
может,VERB
примучивать,VERB
свое,DET
ребятье,NOUN
да,CCONJ
еще,ADV
малышей,NOUN
как,SCONJ
это,PRON
ему,PRON
везет,VERB
слышать,VERB
их,PRON
писк,NOUN
и,CCONJ
самому,ADJ
не,PART
растормошиться,NOUN
около,ADP
середины,NOUN
прошедшего,VERB
столетия,NOUN
произошла,VERB
перемена,NOUN
песни,NOUN
тюрьмы,NOUN
ритурнели,VERB
воров,NOUN
приняли,VERB
так,ADV
сказать,VERB
разбитной,NOUN
ухарский,ADJ
характер,NOUN
жалобное,ADJ
заменилось,X
разухабистым,NOUN
во,ADP
всех,DET
песнях,NOUN
распевавшихся,VERB
в,ADP
восемнадцатом,ADJ
столетии,NOUN
в,ADP
тюрьмах,NOUN
на,ADP
галерах,NOUN
и,CCONJ
на,ADP
каторге,NOUN
сквозит,VERB
чисто,ADV
дьявольское,NOUN
загадочное,ADJ
веселье,NOUN
между,ADP
прочим,ADJ
часто,ADV
слышался,VERB
следующий,ADJ
резкий,ADJ
точно,ADV
подскакивающий,ADJ
припев,NOUN
мерцающий,VERB
фосфорическим,ADJ
светом,NOUN
и,CCONJ
заброшенный,VERB
в,ADP
лес,NOUN
трелью,ADJ
дудочника,NOUN
